,Time (min),Date,Bioreactor 12 - CER,Bioreactor 12 - Off-gas CO2%,Bioreactor 12 - OUR,Bioreactor 12 - RQ,Bioreactor 12 - Volume
0,0.0,2018-07-30,,,,,105.13923500000001
1,30.0,2018-07-30,,,,,200.0
2,60.0,2018-07-30,,0.0279447076953117,,,200.0
3,90.0,2018-07-30,,0.0278615765953331,,,200.0
4,120.0,2018-07-30,,0.0273816168258176,,,200.0
5,150.0,2018-07-30,,0.026921486353624003,,,200.0
6,180.0,2018-07-30,,0.0264909396167185,,,200.0
7,210.0,2018-07-30,,0.0261395071584476,,,200.0
8,240.0,2018-07-30,,0.0260497558782918,,,200.0
9,270.0,2018-07-30,,0.0260213465400796,,,200.0
10,300.0,2018-07-30,,0.0260568752935107,,,200.0
11,330.0,2018-07-30,,0.0260213814593944,,,200.0
12,360.0,2018-07-30,,0.0260356032091664,,,200.0
13,390.0,2018-07-30,,0.0260022228441249,,,200.0
14,420.0,2018-07-30,,0.0260119828978648,,,200.0
15,450.0,2018-07-30,,0.0260141922054902,,,200.0
16,480.0,2018-07-30,,0.026014213872216,,,200.0
17,510.0,2018-07-30,,0.0260142008722139,,,200.0
18,540.0,2018-07-30,,0.026021385540086005,,,200.0
19,570.0,2018-07-31,,0.0260215025400774,,,200.0
20,600.0,2018-07-31,,0.0160669032781738,,,199.99593931850498
21,630.0,2018-07-31,,0.000957169378490881,,,199.98077499098
22,660.0,2018-07-31,,0.000236285092222939,,,199.96497631507802
23,690.0,2018-07-31,,0.000162552673011005,,,200.262636041664
24,720.0,2018-07-31,,1.56983356221292e-05,,,200.316735378442
25,750.0,2018-07-31,,0.0,,,200.318004055256
26,780.0,2018-07-31,,0.0,,,200.302228387436
27,810.0,2018-07-31,,0.0,,,200.286454194132
28,840.0,2018-07-31,,0.0,,,200.27541342674098
29,870.0,2018-07-31,,0.0,,,200.279681709597
30,900.0,2018-07-31,,0.0,,,200.26390566666
31,930.0,2018-07-31,,0.0,,,200.24813287992802
32,960.0,2018-07-31,,0.0,,,200.232360374975
33,990.0,2018-07-31,,0.0,,,200.21658371107398
34,1020.0,2018-07-31,,0.0,,,200.20080796175898
35,1050.0,2018-07-31,,0.0,,,200.18503509840198
